date,rolling_return,rolling_volatility,rolling_correlation,regime_cluster,regime,dataset
2024-12-31,-0.0010854000096052903,0.11920143413514,0.4486425132767895,0,Defensive,train
2025-01-01,-0.001301223773517384,0.11804192912908612,0.4230421746642151,0,Defensive,train
2025-01-02,-0.001547340816589981,0.11355637730643915,0.42581184199075245,0,Defensive,train
2025-01-03,-0.0009408618979608391,0.12668662958730106,0.5035241193464166,0,Defensive,train
2025-01-06,-0.0021962605395929075,0.12384422083902408,0.48203719703341985,0,Defensive,train
2025-01-07,-0.0029380837308390713,0.13405775707796186,0.4774093442140371,0,Defensive,train
2025-01-08,-0.0027532033410656493,0.1354755678746324,0.48720325615358856,0,Defensive,train
2025-01-09,-0.002737697170592088,0.13560799620854497,0.45832277219364836,0,Defensive,train
2025-01-10,-0.003206898378318586,0.1379625929186098,0.46542935079727465,0,Defensive,train
2025-01-13,-0.0028501136703005824,0.1395903617157575,0.4094457419763465,0,Defensive,train
2025-01-14,-0.003821531210778631,0.1342698555118836,0.38324265845160366,0,Defensive,train
2025-01-15,-0.0035465701540023436,0.13558766787605503,0.3605817792056339,0,Defensive,train
2025-01-16,-0.0027119770652000714,0.13446356738373502,0.3578160037074071,0,Defensive,train
2025-01-17,-0.00237990311891997,0.1350064708630678,0.35150320573886323,0,Defensive,train
2025-01-20,-0.0018800499375399334,0.12853924335439798,0.26615813193348814,0,Defensive,train
2025-01-21,-0.0009683174317326116,0.11985605613792485,0.2371447133540796,0,Defensive,train
2025-01-22,-0.002142408701053275,0.12340987923470134,0.24607063046631764,0,Defensive,train
2025-01-23,-0.0016886858987116729,0.12883359559069546,0.25326350877035814,0,Defensive,train
2025-01-24,-0.0016701110458483045,0.12881938983528424,0.24962423137352477,0,Defensive,train
2025-01-27,-0.0018141186757777764,0.12867633966313372,0.2469814796137976,0,Defensive,train
2025-01-28,-0.001777560432541779,0.128251296754804,0.22786087367442928,0,Defensive,train
2025-01-29,-0.0015823297473031082,0.12933022151377255,0.2166067612961046,0,Defensive,train
2025-01-30,-0.0013770626099945285,0.1324925522643515,0.22683849455904492,0,Defensive,train
2025-01-31,-0.001994046345305071,0.11931082417632656,0.17997907506732877,0,Defensive,train
2025-02-01,-0.0006690105305396164,0.1237319061594755,0.18014822411608228,0,Defensive,train
2025-02-03,-6.244383997780828e-05,0.10959967092662821,0.11585414031275262,2,Calm,train
2025-02-04,-0.0007659350776311627,0.11576270897038514,0.13375793179438045,0,Defensive,train
2025-02-05,0.00020203352190836349,0.13938212680770862,0.20951562938085594,2,Calm,train
2025-02-06,0.00040619961853102923,0.13603354348815683,0.19720339272739032,2,Calm,train
2025-02-07,0.00010256089319734922,0.13624923381839296,0.23557338384067822,0,Defensive,train
2025-02-10,4.7143422589236535e-06,0.13837663573568554,0.25864163463753725,0,Defensive,train
2025-02-11,-0.00030456516364900756,0.13922743416449776,0.2717974115666883,0,Defensive,train
2025-02-12,-0.0012006401235252488,0.14536964650493536,0.29883505035799524,0,Defensive,train
2025-02-13,-0.0013360580899385338,0.14499371665322142,0.30347236198794064,0,Defensive,train
2025-02-14,-0.0014376157076147066,0.1455847285962899,0.37249268827143583,0,Defensive,train
2025-02-17,-0.0015524221294156782,0.1448337084571581,0.3814429872194469,0,Defensive,train
2025-02-18,-0.0008436326384320339,0.13627489210565988,0.3500102280891363,0,Defensive,train
2025-02-19,-0.0013642852817587682,0.13194691358235813,0.36137110501487274,0,Defensive,train
2025-02-20,-0.0012957953033941095,0.13196754747294687,0.33510231948136365,0,Defensive,train
2025-02-21,-0.0013402949571018402,0.13213086726601586,0.32631196489195385,0,Defensive,train
2025-02-24,-0.0011095296532008133,0.13048606422279038,0.3444042312451578,0,Defensive,train
2025-02-25,-0.001956021230522945,0.1371584669107058,0.38015097722115376,0,Defensive,train
2025-02-27,-0.002498460563161006,0.13183182751696138,0.3627224752504877,0,Defensive,train
2025-02-28,-0.002721909065786861,0.1306300936770784,0.3608963585327686,0,Defensive,train
2025-03-03,-0.00422858142394858,0.12482288806915989,0.32186378463753573,0,Defensive,train
2025-03-04,-0.003993064535595763,0.1257796228914795,0.33074447908909516,0,Defensive,train
2025-03-05,-0.0032597822197735953,0.12545244324050964,0.3303885214730578,0,Defensive,train
2025-03-06,-0.0038379260531742248,0.09970562993466013,0.20387397350525588,0,Defensive,train
2025-03-07,-0.003156563185582905,0.10695102071878063,0.23356171008924395,0,Defensive,train
2025-03-10,-0.00295965034421618,0.10786560098284663,0.23358697171678275,0,Defensive,train
2025-03-11,-0.0025375066424135574,0.10231445317025123,0.20264886084142394,0,Defensive,train
2025-03-12,-0.0022185115685518057,0.10304443384965818,0.1893011595701887,0,Defensive,train
2025-03-13,-0.0017655691162630827,0.09469717584830475,0.13478585913361266,0,Defensive,train
2025-03-17,-0.0017526859482213711,0.09472549371287653,0.14082385731641084,0,Defensive,train
2025-03-18,-0.0015229752494986051,0.09365489971161735,0.1261058415164469,0,Defensive,train
2025-03-19,-0.0015522526937293032,0.09347372298577429,0.13220071019381624,0,Defensive,train
2025-03-20,-0.0007744272880322944,0.11053209753018413,0.16147443384202728,0,Defensive,train
2025-03-21,-8.663989378289941e-05,0.11880648601863567,0.19179607169548302,2,Calm,train
2025-03-24,0.00019390905562157178,0.12021167897103889,0.20654998803532462,2,Calm,train
2025-03-25,0.0011958670135681763,0.13228447258652326,0.25479478228219,2,Calm,train
2025-03-26,0.0013335357146195231,0.1316387045289941,0.24304381902937583,2,Calm,train
2025-03-27,0.001582136292939932,0.12498518563595049,0.22956145725096125,2,Calm,train
2025-03-28,0.002055275477539239,0.12522588780419147,0.23718531390677305,2,Calm,train
2025-04-01,0.0019899410582009747,0.1258966918092335,0.24013519633002017,2,Calm,train
2025-04-02,0.00195244503838263,0.12739143633776764,0.28402278331499975,2,Calm,train
2025-04-03,0.002225776570163609,0.12785015962674653,0.2983317619072904,2,Calm,train
2025-04-04,0.0015910324321719229,0.13397326079914396,0.31178855145372125,2,Calm,train
2025-04-07,0.00023760557138621102,0.14646436663420334,0.3168126509159883,0,Defensive,train
2025-04-08,-0.001640963238758062,0.1790013413561639,0.4196230367757727,0,Defensive,train
2025-04-09,-0.0008416820722587607,0.19050674865342845,0.47745264539595306,1,High Volatility,train
2025-04-11,-0.0012156128544978842,0.19383463049827745,0.46240986569532655,1,High Volatility,train
2025-04-15,-0.0006234436623561787,0.20063517778499504,0.48428469836374777,1,High Volatility,train
2025-04-16,0.0005391924161540125,0.21161270749733144,0.5208055149949387,1,High Volatility,train
2025-04-17,0.0007131368890047412,0.2116710899329799,0.5190008921664947,1,High Volatility,train
2025-04-21,0.001631260951047838,0.2195923674544262,0.5377426774150649,1,High Volatility,train
2025-04-22,0.0021293731120419854,0.2216604275709514,0.5205760010796111,1,High Volatility,train
2025-04-23,0.0015223914563577629,0.216402712718199,0.5361392393059158,1,High Volatility,train
2025-04-24,0.0012870319094362924,0.21411445964191686,0.48746839870921915,1,High Volatility,train
2025-04-25,0.0008722029890370873,0.2141721141280235,0.4899282830445951,1,High Volatility,train
2025-04-28,-4.228649239900062e-05,0.20622148042070024,0.4604394134863431,1,High Volatility,train
2025-04-29,0.000673525575728648,0.2127033192239706,0.46427990796227486,1,High Volatility,train
2025-04-30,0.001262668222909111,0.20968501486256863,0.44378541002621624,1,High Volatility,train
2025-05-02,0.0008130612228505031,0.20896935388695587,0.43277892465166656,1,High Volatility,train
2025-05-05,0.0011508900475823182,0.20849951616088686,0.4330103383628422,1,High Volatility,train
2025-05-06,0.0022152471877764056,0.19668806422881444,0.400080711028893,1,High Volatility,train
2025-05-07,0.0017651448579563567,0.197210243635291,0.4015463727528295,1,High Volatility,train
2025-05-08,0.0021103993187630713,0.19360848273011047,0.40581458061601877,1,High Volatility,train
2025-05-09,0.0028945706055045588,0.1800713188019152,0.40222908697468346,1,High Volatility,train
2025-05-12,0.004114521230477897,0.136248617923455,0.23866257754264084,2,Calm,train
2025-05-13,0.005474040938965148,0.19238569029741112,0.4366641231795785,1,High Volatility,train
2025-05-14,0.005207179251982091,0.19933394126337317,0.47135316686985246,1,High Volatility,train
2025-05-15,0.004685083016547493,0.19697579086229705,0.4706915088910951,1,High Volatility,train
2025-05-16,0.004374905440722464,0.19220227555926972,0.48248205467336985,1,High Volatility,train
2025-05-19,0.004170119835652205,0.19324151276741416,0.4898560580274212,1,High Volatility,train
2025-05-20,0.003043408437013105,0.18934652094657747,0.49005903073755436,1,High Volatility,train
2025-05-21,0.0021646749291630747,0.19066748565335537,0.5071538946605161,1,High Volatility,train
2025-05-22,0.002208657720900056,0.19073855226120826,0.5426291698103559,1,High Volatility,train
2025-05-23,0.0013914557374175272,0.19415310117056106,0.5878087210992299,1,High Volatility,train
2025-05-26,0.0021198425697488534,0.19647521086347938,0.5900413142088282,1,High Volatility,train
2025-05-27,0.0026279897998258243,0.19706903606116358,0.6006079255628582,1,High Volatility,train
2025-05-28,0.0014791826742034607,0.19538802818454953,0.6253028017320711,1,High Volatility,train
2025-05-29,0.0012750345798133065,0.19556477611528025,0.6369087739596068,1,High Volatility,train
2025-05-30,0.001487144727753327,0.19514366977298947,0.6632723428063244,1,High Volatility,train
2025-06-02,0.0014230183173484046,0.19504169631937238,0.6541760563275432,1,High Volatility,train
2025-06-03,0.001154564872165092,0.1950863004119967,0.6695209566932456,1,High Volatility,train
2025-06-04,0.00101815271609974,0.19616333141620693,0.6896961861389583,1,High Volatility,train
2025-06-05,0.0012245134297242325,0.19578557361607524,0.6832722427516004,1,High Volatility,train
2025-06-06,0.0015789673947693556,0.19594287114826772,0.6807070314258511,1,High Volatility,train
2025-06-09,0.0021535064428599656,0.19451062852410234,0.787013449739091,1,High Volatility,train
