Strategy,Simulation,Maximum Drawdown
Risk-Aware Regime Switching,317,-0.32730399646898845
Risk-Aware Regime Switching,318,-0.22871037910884184
Risk-Aware Regime Switching,319,-0.25939899690737545
Risk-Aware Regime Switching,320,-0.35383256621600356
Risk-Aware Regime Switching,321,-0.18661637504196238
Risk-Aware Regime Switching,322,-0.3561752954233154
Risk-Aware Regime Switching,323,-0.2970571856804165
Risk-Aware Regime Switching,324,-0.4808481118183022
Risk-Aware Regime Switching,325,-0.20484496805363128
Risk-Aware Regime Switching,326,-0.27673360543151715
Risk-Aware Regime Switching,327,-0.32031473710277814
Risk-Aware Regime Switching,328,-0.26120611414509654
Risk-Aware Regime Switching,329,-0.26107611113672125
Risk-Aware Regime Switching,330,-0.20275497678468035
Risk-Aware Regime Switching,331,-0.3917553482517505
Risk-Aware Regime Switching,332,-0.20118439770009144
Risk-Aware Regime Switching,333,-0.1252057465536015
Risk-Aware Regime Switching,334,-0.29585150107563063
Risk-Aware Regime Switching,335,-0.1882176574971106
Risk-Aware Regime Switching,336,-0.27919596257288215
Risk-Aware Regime Switching,337,-0.29717708116522046
Risk-Aware Regime Switching,338,-0.3415967996426502
Risk-Aware Regime Switching,339,-0.1552884148403364
Risk-Aware Regime Switching,340,-0.18506327329953698
Risk-Aware Regime Switching,341,-0.23202448340344306
Risk-Aware Regime Switching,342,-0.49003863964095584
Risk-Aware Regime Switching,343,-0.24173320911364427
Risk-Aware Regime Switching,344,-0.3458031506328044
Risk-Aware Regime Switching,345,-0.3633814476520473
Risk-Aware Regime Switching,346,-0.3328352112198667
Risk-Aware Regime Switching,347,-0.2803827784427787
Risk-Aware Regime Switching,348,-0.2724568761840468
Risk-Aware Regime Switching,349,-0.27131822627456914
Risk-Aware Regime Switching,350,-0.28498073427921133
Risk-Aware Regime Switching,351,-0.20793408807181124
Risk-Aware Regime Switching,352,-0.2750027340993416
Risk-Aware Regime Switching,353,-0.2474286100274684
Risk-Aware Regime Switching,354,-0.1666452536240941
Risk-Aware Regime Switching,355,-0.20712613282935854
Risk-Aware Regime Switching,356,-0.17468057058165576
Risk-Aware Regime Switching,357,-0.2489289083824764
Risk-Aware Regime Switching,358,-0.24608128194446888
Risk-Aware Regime Switching,359,-0.39347230145249745
Risk-Aware Regime Switching,360,-0.1483501548534938
Risk-Aware Regime Switching,361,-0.27051381119873685
Risk-Aware Regime Switching,362,-0.25281542139914515
Risk-Aware Regime Switching,363,-0.13470823265947085
Risk-Aware Regime Switching,364,-0.4137733724340994
Risk-Aware Regime Switching,365,-0.21659068543073257
Risk-Aware Regime Switching,366,-0.1834449468760192
Risk-Aware Regime Switching,367,-0.349766910251995
Risk-Aware Regime Switching,368,-0.10386386503245948
Risk-Aware Regime Switching,369,-0.3344646767636743
Risk-Aware Regime Switching,370,-0.162444397895522
Risk-Aware Regime Switching,371,-0.1571445731087504
Risk-Aware Regime Switching,372,-0.2009256305995677
Risk-Aware Regime Switching,373,-0.28973936155148805
Risk-Aware Regime Switching,374,-0.20397223908565876
Risk-Aware Regime Switching,375,-0.22341722831869748
Risk-Aware Regime Switching,376,-0.3577971526319068
Risk-Aware Regime Switching,377,-0.19933963801888088
Risk-Aware Regime Switching,378,-0.2401004263258033
Risk-Aware Regime Switching,379,-0.17929295580631777
Risk-Aware Regime Switching,380,-0.33025174163641136
Risk-Aware Regime Switching,381,-0.3620101118956719
Risk-Aware Regime Switching,382,-0.26412326068748293
Risk-Aware Regime Switching,383,-0.39995401195626146
Risk-Aware Regime Switching,384,-0.22755214876428775
Risk-Aware Regime Switching,385,-0.22552134369662025
Risk-Aware Regime Switching,386,-0.20904056649891922
Risk-Aware Regime Switching,387,-0.3825260592080586
Risk-Aware Regime Switching,388,-0.13183319564806772
Risk-Aware Regime Switching,389,-0.2835000468899608
Risk-Aware Regime Switching,390,-0.14056524671965054
Risk-Aware Regime Switching,391,-0.16209071304532274
Risk-Aware Regime Switching,392,-0.19719044968718125
Risk-Aware Regime Switching,393,-0.5442728112957989
Risk-Aware Regime Switching,394,-0.41105834414208076
Risk-Aware Regime Switching,395,-0.17698107983017408
Risk-Aware Regime Switching,396,-0.21031057627073624
Risk-Aware Regime Switching,397,-0.1913670672928356
Risk-Aware Regime Switching,398,-0.26978757184134927
Risk-Aware Regime Switching,399,-0.1042148445304022
Risk-Aware Regime Switching,400,-0.13595900329976185
Risk-Aware Regime Switching,401,-0.25268279767053714
Risk-Aware Regime Switching,402,-0.22620351027957775
Risk-Aware Regime Switching,403,-0.37337869922292377
Risk-Aware Regime Switching,404,-0.17862639934263214
Risk-Aware Regime Switching,405,-0.19816070362290672
Risk-Aware Regime Switching,406,-0.11651572571065372
Risk-Aware Regime Switching,407,-0.18186133493943957
Risk-Aware Regime Switching,408,-0.23807511934506742
Risk-Aware Regime Switching,409,-0.29465748436219774
Risk-Aware Regime Switching,410,-0.12225477556908826
Risk-Aware Regime Switching,411,-0.3033959049659659
Risk-Aware Regime Switching,412,-0.19034899740515654
Risk-Aware Regime Switching,413,-0.22213331670481318
Risk-Aware Regime Switching,414,-0.21800946920396413
Risk-Aware Regime Switching,415,-0.2699032060626455
Risk-Aware Regime Switching,416,-0.12538187637023224
Risk-Aware Regime Switching,417,-0.27721646459217897
Risk-Aware Regime Switching,418,-0.2893064745736309
Risk-Aware Regime Switching,419,-0.2421044409187606
Risk-Aware Regime Switching,420,-0.4228417198375195
Risk-Aware Regime Switching,421,-0.2822055428594311
Risk-Aware Regime Switching,422,-0.42083182393620644
Risk-Aware Regime Switching,423,-0.16896019742065127
